City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,atafu village,-8.5421,-172.5159,29.21,75,43,5.34,TK,2024-06-10
1,st. john's,47.5649,-52.7093,11.66,95,20,8.23,CA,2024-06-10
2,west island,-12.1568,96.8225,24.99,94,75,6.69,CC,2024-06-10
3,port-aux-francais,-49.35,70.2167,2.87,70,58,14.12,TF,2024-06-10
4,grytviken,-54.2811,-36.5092,-4.3,85,56,5.19,GS,2024-06-10
5,pisco,-13.7,-76.2167,14.03,88,20,2.06,PE,2024-06-10
6,lihue,21.9789,-159.3672,29.58,73,40,6.69,US,2024-06-10
7,san cristobal verapaz,15.3833,-90.4,18.2,93,100,0.48,GT,2024-06-10
8,waitangi,-43.9535,-176.5597,10.46,92,100,2.68,NZ,2024-06-10
9,luchow,52.9667,11.15,11.17,91,100,6.13,DE,2024-06-10
10,port alfred,-33.5906,26.891,16.57,44,16,4.78,ZA,2024-06-10
11,ancud,-41.8697,-73.8203,10.74,89,100,6.72,CL,2024-06-10
12,adamstown,-25.066,-130.1015,22.68,79,100,6.69,PN,2024-06-10
13,bethel,41.3712,-73.414,16.2,80,0,1.13,US,2024-06-10
14,khandyga,62.6667,135.6,22.53,29,45,0.81,RU,2024-06-10
15,saint-pierre,-21.3393,55.4781,22.32,71,12,5.26,RE,2024-06-10
16,papatowai,-46.5619,169.4708,6.51,74,76,4.71,NZ,2024-06-10
17,marsabit,2.3284,37.9899,17.31,74,42,7.94,KE,2024-06-10
18,la ronge,55.1001,-105.2842,11.14,93,100,1.54,CA,2024-06-10
19,albany,42.6001,-73.9662,14.3,80,97,0.45,US,2024-06-10
20,port lincoln,-34.7333,135.8667,17.81,56,40,9.8,AU,2024-06-10
21,margaret river,-33.95,115.0667,17.5,56,81,2.33,AU,2024-06-10
22,mandiana,10.6333,-8.6833,24.82,77,32,2.81,GN,2024-06-10
23,cam ranh,11.9214,109.1591,33.98,46,0,3.6,VN,2024-06-10
24,ushuaia,-54.8,-68.3,-5.19,93,0,1.54,AR,2024-06-10
25,keflavik,64.0049,-22.5624,6.95,87,100,3.09,IS,2024-06-10
26,mirnyy,62.5353,113.9611,24.57,27,43,0.89,RU,2024-06-10
27,okha,53.5739,142.9478,6.25,95,100,4.02,RU,2024-06-10
28,puerto natales,-51.7236,-72.4875,0.68,96,89,1.3,CL,2024-06-10
29,ghadamis,30.1337,9.5007,33.23,13,55,5.43,LY,2024-06-10
30,port elizabeth,-33.918,25.5701,12.95,77,0,3.09,ZA,2024-06-10
31,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,86,0,8.0,RU,2024-06-10
